gid,date,div_number,motion_text,ayes,noes,colnum,time
uk.org.publicwhip/debate/2020-05-13b.349.2,2020-05-13,44,,56,362,349,18:32:00
uk.org.publicwhip/debate/2020-05-13b.353.10,2020-05-13,45,,360,211,353,18:54:00
uk.org.publicwhip/debate/2020-05-18a.463.0,2020-05-18,46,,351,252,463,21:25:00
uk.org.publicwhip/debate/2020-05-20a.605.2,2020-05-20,47,That the Business of the House (,350,258,605,14:26:00
uk.org.publicwhip/debate/2020-05-20a.656.2,2020-05-20,48,,262,352,656,17:46:00
uk.org.publicwhip/debate/2020-05-20a.661.1,2020-05-20,49,,355,254,661,18:05:00
uk.org.publicwhip/debate/2020-05-20a.675.0,2020-05-20,50,,262,323,675,18:48:00
uk.org.publicwhip/debate/2020-06-02a.753.1,2020-06-02,51,,185,242,753,15:36:00
uk.org.publicwhip/debate/2020-06-02a.756.0,2020-06-02,52,,261,163,756,15:36:00
uk.org.publicwhip/debate/2020-06-02b.756.0,2020-06-02,52,,261,163,756,15:36:00
uk.org.publicwhip/debate/2020-06-02c.753.1,2020-06-02,51,,185,242,753,15:36:00
uk.org.publicwhip/debate/2020-06-02d.753.1,2020-06-02,51,,185,242,753,15:36:00
uk.org.publicwhip/debate/2020-06-02d.756.0,2020-06-02,52,,261,163,756,15:36:00
uk.org.publicwhip/debate/2020-06-02d.810.2,2020-06-02,53,,137,265,810,19:51:00
uk.org.publicwhip/debate/2020-06-08b.127.1,2020-06-08,54,,231,16,127,21:51:00
uk.org.publicwhip/debate/2020-06-08c.127.1,2020-06-08,54,,231,16,127,21:51:00
uk.org.publicwhip/debate/2020-06-10a.354.1,2020-06-10,55,,123,260,354,16:06:00
uk.org.publicwhip/debate/2020-06-10b.354.1,2020-06-10,55,,123,260,354,16:06:00
uk.org.publicwhip/debate/2020-06-10c.354.1,2020-06-10,55,,123,260,354,16:06:00
uk.org.publicwhip/debate/2020-06-17a.897.1,2020-06-17,57,,31,400,897,18:00:00
uk.org.publicwhip/debate/2020-06-17b.897.1,2020-06-17,57,,31,400,897,18:00:00
uk.org.publicwhip/debate/2020-06-17c.897.1,2020-06-17,57,,31,400,897,18:00:00
uk.org.publicwhip/debate/2020-06-17e.897.1,2020-06-17,57,,31,400,897,18:00:00
uk.org.publicwhip/debate/2020-06-17e.920.3,2020-06-17,56,"
Health and Personal Social Services
",253,136,920,19:30:00
uk.org.publicwhip/debate/2020-06-23a.1266.3,2020-06-23,58,,243,238,1266,18:02:00
uk.org.publicwhip/debate/2020-06-23b.1266.3,2020-06-23,58,,243,238,1266,18:02:00
uk.org.publicwhip/debate/2020-06-24a.1415.1,2020-06-24,60,,198,344,1415,18:48:00
uk.org.publicwhip/debate/2020-06-24d.1415.1,2020-06-24,60,,198,344,1415,18:48:00
uk.org.publicwhip/debate/2020-06-24e.1318.1,2020-06-24,59,,213,47,1318,12:50:00
uk.org.publicwhip/debate/2020-06-24e.1415.1,2020-06-24,60,,198,344,1415,18:48:00
uk.org.publicwhip/debate/2020-06-30a.269.3,2020-06-30,62,,252,332,269,18:00:00
uk.org.publicwhip/debate/2020-06-30a.286.0,2020-06-30,65,,342,248,286,19:15:00
uk.org.publicwhip/debate/2020-06-30b.279.1,2020-06-30,64,,255,332,279,18:00:00
uk.org.publicwhip/debate/2020-06-30d.264.1,2020-06-30,61,,247,344,264,18:00:00
uk.org.publicwhip/debate/2020-06-30d.269.3,2020-06-30,62,,252,332,269,18:00:00
uk.org.publicwhip/debate/2020-06-30d.274.3,2020-06-30,63,This new clause would delay application of No Recourse to Public Funds rules during the current pandemic and until such time as Parliament decides.,248,337,274,18:00:00
uk.org.publicwhip/debate/2020-06-30d.279.1,2020-06-30,64,,255,332,279,18:00:00
uk.org.publicwhip/debate/2020-06-30d.286.0,2020-06-30,65,"“the Scottish Parliament or, as the case may be,”.—(Kevin Foster.)",342,248,286,19:15:00
uk.org.publicwhip/debate/2020-07-01a.475.0,2020-07-01,71,,254,317,475,21:00:00
uk.org.publicwhip/debate/2020-07-01b.395.2,2020-07-01,67,,248,340,395,16:30:00
uk.org.publicwhip/debate/2020-07-01b.429.1,2020-07-01,68,,246,342,429,18:30:00
uk.org.publicwhip/debate/2020-07-01b.465.2,2020-07-01,69,,241,339,465,20:30:00
uk.org.publicwhip/debate/2020-07-01b.470.3,2020-07-01,70,"
Loan charge: report on effect of the scheme
",232,321,470,21:00:00
uk.org.publicwhip/debate/2020-07-01b.475.0,2020-07-01,71,"
Workers’ services provided through intermediaries
",254,317,475,21:00:00
uk.org.publicwhip/debate/2020-07-01d.356.1,2020-07-01,66,,55,115,356,14:10:00
uk.org.publicwhip/debate/2020-07-01d.395.2,2020-07-01,67,,248,340,395,16:30:00
uk.org.publicwhip/debate/2020-07-01d.429.1,2020-07-01,68,,246,342,429,18:30:00
uk.org.publicwhip/debate/2020-07-01d.465.2,2020-07-01,69,“principled and highly respected”,241,339,465,20:30:00
uk.org.publicwhip/debate/2020-07-01d.470.2,2020-07-01,70,and “regions of England” has the same meaning as that used by the Office for National Statistics.”—(Alison Thewliss.),232,321,470,21:00:00
uk.org.publicwhip/debate/2020-07-01d.475.0,2020-07-01,71,"
Schedule 1 - Workers’ services provided through intermediaries
",254,317,475,21:00:00
uk.org.publicwhip/debate/2020-07-06a.776.0,2020-07-06,72,,207,330,776,21:00:00
uk.org.publicwhip/debate/2020-07-06a.781.0,2020-07-06,73,,200,338,781,21:00:00
